Alignment Score,Votes,In-Scope Vote Prop,In-Scope Vote %
2,2630405.0,0.2704194073257572,27.04
0,1925043.0,0.19790450030949516,19.79
5,1124482.0,0.11560263761226203,11.56
-4,1110359.0,0.11415071926141429,11.42
1,990601.0,0.10183896978461583,10.18
-2,597192.0,0.06139446461654521,6.14
6,523083.0,0.05377567136702487,5.38
4,480082.0,0.049354943405203446,4.94
-3,211237.0,0.02171626967910682,2.17
3,104319.0,0.010724539435111957,1.07
-1,30328.0,0.0031178772034631793,0.31
