Alignment Score,Votes,In-Scope Vote Prop,In-Scope Vote %
-1,7208335.0,0.3989173174367079,39.89
3,6239227.0,0.34528579730529707,34.53
-3,2903722.0,0.1606952216873872,16.07
-2,1387030.0,0.07675979082606968,7.68
5,294092.0,0.016275380059278085,1.63
4,18901.0,0.001046002470316823,0.1
0,8367.0,0.0004630391338628039,0.05
-6,8029.0,0.00044433383599670767,0.04
1,1534.0,8.489327493074474e-05,0.01
6,510.0,2.822397015298554e-05,0.0
