Alignment Score,Total Votes,In-Scope Vote Prop,In-Scope Vote %
6,21078788.0,0.3613245514076895,36.13
-4,16973875.0,0.29095969701982843,29.1
1,13512065.0,0.2316186691908729,23.16
3,3580816.0,0.06138098333136976,6.14
4,2244385.0,0.03847239240278649,3.85
0,568590.0,0.009746553107555242,0.97
-6,366594.0,0.006284014650118902,0.63
-2,12434.0,0.0002131388897788246,0.02
