Alignment Score,Total Votes,In-Scope Vote Prop,In-Scope Vote %
1,13859783.0,0.3290798190611999,32.91
-4,13514557.0,0.32088294400080236,32.09
6,8809234.0,0.20916208650508958,20.92
2,4080783.0,0.09689208923891669,9.69
4,1030762.0,0.02447390211341408,2.45
0,382757.0,0.00908799252516491,0.91
-6,277641.0,0.006592170313486914,0.66
-2,161265.0,0.0038289962419256057,0.38
