Party,Votes,Vote %
Liberal,"3,502,713",23.89
Liberal National,"1,172,515",8
National,"528,442",3.6
Country Liberal,"29,664",0.2
Labor,"4,776,030",32.58
Greens,"1,795,985",12.25
One Nation,"727,464",4.96
United Australia Party,"604,536",4.12
Katter's Australian,"55,863",0.38
Centre Alliance,"36,500",0.25
Independents,"776,169",5.29
Other,"653,161",4.46
