Party,Votes,Vote %
Liberal Party of Australia,"3,989,404",27.99
Liberal National Party (Qld),"1,236,401",8.67
National Party of Australia,"642,233",4.51
Country Liberal Party (NT),"38,837",0.27
Australian Labor Party,"4,752,160",33.34
Australian Greens,"1,482,923",10.4
Katter's Australian Party,"69,736",0.49
Centre Alliance,"46,931",0.33
Independent,"479,836",3.37
Other,"1,514,932",10.63
